subject,professor,lecture_type,time,room
가구사,임승택,일반,전주:미술관 1170 ,"화 6-A,화 6-B,화 7-A,화 7-B,화 8-A,화 8-B"
가구와실내디자인 1,오은아,일반,전주:미술관 2040 ,"목 2-A,목 2-B,목 3-A,목 3-B,목 4-A,목 4-B"
가금감염병학총론,차세연,일반,익산:제1 수의학관 304 ,"목 11-A,목 11-B,목 12-A,목 12-B"
가금생산학,김동욱,일반,전주:농업생명과학대학3호관 405 ,"수 8-A,수 8-B,수 9-A,수 9-B,수 10-A,수 10-B"
가금영양학,김동욱,일반,전주:농업생명과학대학3호관 405 ,"수 5-A,수 5-B,수 6-A,수 6-B,수 7-A,수 7-B"
가로설계,김현숙,일반,전주:공과대학 9호관 915 ,"월 5-A,월 5-B,월 6-A,월 6-B,월 7-A,월 7-B,수 8-A,수 8-B,수 9-A,수 9-B,수 10-A,수 10-B"
가스터빈엔진특론,최성만,일반,전주:공과대학 9호관 612 ,"화 6-A,화 6-B,화 7-A,화 7-B,화 8-A,화 8-B"
가스화전환공학,이시훈,일반,전주:공과대학 2호관 309 ,"화 2-A,화 2-B,화 3-A,화 3-B,화 4-A,화 4-B"
가야금악곡분석 1,서태경,일반,전주:예술대학 본관 4120 ,"수 4-A,수 4-B,수 5-A,수 5-B"
가정의학실습,강경표,일반,전주:의과대학 4호관(의생명융합관) 201 ,"월 1-A,월 1-B,월 2-A,월 2-B,월 3-A,월 3-B,월 4-A,월 4-B,월 5-A,월 5-B,월 6-A,월 6-B,월 7-A,월 7-B,월 8-A,월 8-B,화 1-A,화 1-B,화 2-A,화 2-B,화 3-A,화 3-B,화 4-A,화 4-B,화 5-A,화 5-B"
가족과사회변동,김명아,일반,전주:사회과학대학 220 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
가족과사회변동,이미경,일반,전주:사회과학대학 220 ,"화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B"
가족과친족,진명숙,일반,전주:인문대학2호관 104 ,"월 3-A,월 3-B,월 4-A,월 4-B,수 3-A,수 3-B"
